Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,BAX,COF,BAX,COF,BAX,COF,BAX,COF,BAX,COF
Date,,,,,,,,,,
2021-08-17,69.20272827148438,161.58082580566406,69.43057868631826,164.6113987948598,68.80170931627504,159.85572472038353,69.07513259545283,163.43647408133612,2979900,2791000
2021-08-18,68.60121154785156,160.40585327148438,69.4488155138444,163.76278612159211,68.56476159428638,159.70649048247373,69.32121981603422,160.69492094770388,3169100,1759900
2021-08-19,68.37335205078125,156.7505340576172,68.92930764061148,160.00489344626155,68.19107449328807,155.67816913962156,68.55563656171753,157.70165729866878,3020700,2478500
2021-08-20,68.52828979492188,156.86244201660156,68.92930177798834,157.7016718310001,68.0361320874179,154.28879158768092,68.18195273032138,156.82513469278493,3286800,2595700
2021-08-23,68.18196105957031,157.91610717773438,68.75614859852348,159.64119334239086,67.99056753106704,157.57107856194636,68.75614859852348,157.9813736324591,2532200,2019400
2021-08-24,67.92677307128906,158.56886291503906,68.39158992277173,160.11678933910017,67.77183643860941,158.0093669793195,68.12728257402448,158.41966210170415,2119100,1668400
2021-08-25,67.26144409179688,162.18690490722656,67.78094275060957,162.77437427031836,67.07915959097672,158.7367175992779,67.72625392364216,159.07241234553408,2951300,2184300
2021-08-26,67.23410034179688,160.042236328125,67.44372579228788,162.90495486033294,66.64169479961913,159.74383461308506,67.08827968560398,162.6252068096272,3090300,1867100
2021-08-27,67.4163818359375,163.93064880371094,67.79916886393185,164.09848905176855,67.26144522271733,160.06083264014114,67.53486154838066,160.6762753401652,2619900,1747700
2021-08-30,69.26653289794922,154.03700256347656,69.92274326953338,161.85122142986106,67.67157983779907,153.9624021513867,67.67157983779907,160.51776218518714,9337000,4300600
2021-08-31,69.46703338623047,154.76431274414062,69.60374502148802,155.8832902799834,68.62854555503327,152.23727578855286,69.24829894188395,153.88777583534952,5213400,3791800
2021-09-01,70.72477722167969,150.76397705078125,70.98908457410307,155.33315630177043,69.12070813092974,150.34436217787763,69.76780951819201,154.75502088703982,4001300,3342900
2021-09-02,74.145751953125,149.25335693359375,75.90198533531039,152.34921002457216,73.35910756803764,148.74982193480417,74.0908720588335,151.52861971543112,8205800,3118100
2021-09-03,75.655029296875,146.6424102783203,76.05750055746935,149.5424357228028,73.88965351102925,145.84047357001592,74.13662704953035,149.1881015227903,5100100,3361200
2021-09-07,76.24040985107422,146.33468627929688,76.60629204462377,148.89901691110586,74.99641458017919,145.8964319525127,75.30741688721415,146.35333994062,5812300,3437100
